arquivo,linha,classe,largura,altura,area,categoria
test_1068.txt,1,0,0.751563,0.909375,0.683453,provavel_cacho
test_1296.txt,1,0,0.435937,0.520312,0.226823,provavel_cacho
test_1508.txt,1,0,0.567187,0.623437,0.353605,provavel_cacho
test_161.txt,2,0,0.376563,0.46875,0.176514,provavel_cacho
test_175.txt,1,0,0.609375,0.259375,0.158057,provavel_cacho
test_1751.txt,1,0,0.817187,0.959375,0.783989,provavel_cacho
test_1870.txt,4,0,0.421875,0.653125,0.275537,provavel_cacho
test_1916.txt,1,0,0.846875,0.967187,0.819086,provavel_cacho
test_337.txt,5,0,0.592187,0.439063,0.260007,provavel_cacho
test_401.txt,1,0,0.598437,0.4375,0.261816,provavel_cacho
test_65.txt,1,0,0.520312,0.925,0.481289,provavel_cacho
test_768.txt,4,0,0.320312,0.575,0.184179,provavel_cacho
test_998.txt,1,0,0.379688,0.564063,0.214168,provavel_cacho
train_1044.txt,1,0,0.39375,0.45,0.177187,provavel_cacho
train_1085.txt,1,0,0.720313,0.73125,0.526729,provavel_cacho
train_1092.txt,1,0,1.0,0.904687,0.904687,provavel_cacho
train_1126.txt,1,0,0.49375,0.621875,0.307051,provavel_cacho
train_1128.txt,2,0,0.535937,0.565625,0.303139,provavel_cacho
train_1178.txt,1,0,0.290625,0.948438,0.27564,provavel_cacho
train_1188.txt,2,0,0.379688,0.746875,0.283579,provavel_cacho
train_1189.txt,2,0,0.365625,0.521875,0.190811,provavel_cacho
train_1191.txt,1,0,0.609375,0.435937,0.265649,provavel_cacho
train_1212.txt,1,0,0.360938,0.554688,0.200208,provavel_cacho
train_1231.txt,7,0,0.458382,0.350755,0.16078,provavel_cacho
train_129.txt,1,0,0.589063,0.440625,0.259556,provavel_cacho
train_1293.txt,1,0,0.751563,0.629687,0.473249,provavel_cacho
train_1294.txt,3,0,0.710938,0.809375,0.575415,provavel_cacho
train_1351.txt,1,0,0.448437,0.373437,0.167463,provavel_cacho
train_1360.txt,2,0,0.401562,0.759375,0.304936,provavel_cacho
train_1371.txt,1,0,0.823438,0.721875,0.594419,provavel_cacho
train_138.txt,1,0,0.535937,0.767188,0.411164,provavel_cacho
train_140.txt,1,0,0.9,1.0,0.9,provavel_cacho
train_1481.txt,1,0,0.815625,0.867188,0.7073,provavel_cacho
train_1511.txt,1,0,0.346875,0.479687,0.166391,provavel_cacho
train_1683.txt,2,0,0.432812,0.551562,0.238723,provavel_cacho
train_1700.txt,2,0,0.348438,0.509375,0.177486,provavel_cacho
train_1728.txt,1,0,0.71875,0.7125,0.512109,provavel_cacho
train_1749.txt,3,0,0.6375,0.665625,0.424336,provavel_cacho
train_1759.txt,1,0,0.417187,0.584375,0.243794,provavel_cacho
train_1781.txt,2,0,0.335938,0.4625,0.155371,provavel_cacho
train_1838.txt,1,0,0.292187,0.571875,0.167094,provavel_cacho
train_1838.txt,2,0,0.75625,0.925,0.699531,provavel_cacho
train_1905.txt,3,0,0.425,0.8875,0.377187,provavel_cacho
train_1960.txt,3,0,0.564063,0.610938,0.344608,provavel_cacho
train_203.txt,2,0,0.534375,0.315625,0.168662,provavel_cacho
train_238.txt,4,0,0.692187,0.445312,0.308239,provavel_cacho
train_238.txt,5,0,0.521875,0.298438,0.155747,provavel_cacho
train_260.txt,1,0,0.35,0.439063,0.153672,provavel_cacho
train_301.txt,1,0,0.515625,0.559375,0.288428,provavel_cacho
train_306.txt,2,0,0.49375,0.310937,0.153525,provavel_cacho
train_314.txt,2,0,0.73125,0.360938,0.263936,provavel_cacho
train_314.txt,8,0,0.523438,0.289062,0.151306,provavel_cacho
train_315.txt,2,0,0.598437,0.382812,0.229089,provavel_cacho
train_337.txt,1,0,0.771875,0.384375,0.296689,provavel_cacho
train_338.txt,5,0,0.732812,0.295312,0.216408,provavel_cacho
train_352.txt,1,0,0.34375,0.614062,0.211084,provavel_cacho
train_352.txt,2,0,0.520312,0.807813,0.420315,provavel_cacho
train_375.txt,1,0,0.823438,0.4125,0.339668,provavel_cacho
train_400.txt,1,0,0.5875,0.335938,0.197364,provavel_cacho
train_400.txt,2,0,0.523438,0.454688,0.238001,provavel_cacho
train_425.txt,1,0,0.610938,0.748437,0.457249,provavel_cacho
train_511.txt,2,0,0.320312,0.607812,0.194689,provavel_cacho
train_556.txt,2,0,0.429688,0.779687,0.335022,provavel_cacho
train_58.txt,2,0,0.439063,0.401562,0.176311,provavel_cacho
train_607.txt,2,0,0.309375,0.828125,0.256201,provavel_cacho
train_622.txt,1,0,1.0,0.707812,0.707812,provavel_cacho
train_695.txt,4,0,0.548438,0.525,0.28793,provavel_cacho
train_701.txt,3,0,0.58125,1.0,0.58125,provavel_cacho
train_706.txt,1,0,0.429688,0.425,0.182617,provavel_cacho
train_747.txt,1,0,0.339062,0.548438,0.185954,provavel_cacho
train_852.txt,1,0,0.695312,0.559375,0.38894,provavel_cacho
train_906.txt,1,0,0.3375,0.73125,0.246797,provavel_cacho
train_922.txt,5,0,0.540625,0.420312,0.227231,provavel_cacho
